# ID ArriveeSysteme TempsPresence SortieSysteme
1 892,419580 2,422516 894,842096
2 2889,553348 14,332744 2903,886092
3 3121,499099 34,821887 3156,320986
4 3420,579393 10,975103 3431,554496
5 3474,846489 326,500076 3801,346565
7 3967,104001 535,835218 4502,939218
8 4396,752636 198,449394 4595,202030
6 3834,319707 1454,674350 5288,994057
9 5552,065254 15,929571 5567,994825
10 5626,266797 529,702355 6155,969152
11 5821,940168 730,553330 6552,493498
12 7613,442701 139,820962 7753,263663
15 8389,671785 26,556698 8416,228483
13 7804,211725 632,075590 8436,287315
14 8073,065415 482,463320 8555,528735
16 8469,147670 90,094058 8559,241728
17 8475,112876 372,133659 8847,246535
18 9194,656956 17,431738 9212,088695
20 9443,026165 7,593886 9450,620052
19 9339,242021 345,276578 9684,518599
22 11269,700566 6,753582 11276,454147
21 11165,631804 112,643632 11278,275435
23 12410,903320 230,965506 12641,868827
25 12733,595492 4,255363 12737,850855
24 12733,514719 30,835543 12764,350262
26 12993,369415 272,428862 13265,798277
27 13935,682938 436,664553 14372,347491
28 15850,835388 8,807375 15859,642764
29 16160,887973 0,170654 16161,058627
30 16667,935405 3,717304 16671,652709
31 17397,909706 38,371230 17436,280936
32 17557,089295 15,715792 17572,805087
33 18314,717778 27,152779 18341,870556
35 18921,993078 9,766275 18931,759354
34 18360,772913 704,075678 19064,848590
36 20355,794447 476,875316 20832,669763
37 21438,444612 11,235425 21449,680037
39 21688,759096 95,506385 21784,265481
40 21967,853094 1,450955 21969,304050
41 21972,444627 6,873756 21979,318383
42 22172,511145 10,347396 22182,858541
38 21671,380760 993,656778 22665,037537
43 22797,612559 5,334418 22802,946977
44 22830,195276 21,622001 22851,817277
45 23083,779382 18,946188 23102,725570
46 23541,779033 6,942286 23548,721319
47 24251,449700 1,887201 24253,336901
48 24819,005813 4,099280 24823,105093
50 26693,947279 4,135289 26698,082569
49 26299,504211 699,880996 26999,385207
51 27268,093232 15,915436 27284,008668
52 27745,735525 185,169002 27930,904526
54 28911,153877 0,936853 28912,090730
53 28759,567390 324,894617 29084,462008
