# ID ArriveeSysteme TempsPresence SortieSysteme
1 81.056000 53.312281 134.368281
3 142.783474 22.700094 165.483568
2 107.770330 57.745737 165.516067
4 279.957055 10.177214 290.134269
5 611.385537 190.464585 801.850121
7 775.532961 215.531555 991.064516
9 952.385066 46.024737 998.409803
10 1024.849864 11.672493 1036.522357
8 842.586499 282.396422 1124.982920
11 1184.754833 48.697400 1233.452233
6 758.545479 591.387152 1349.932630
12 1281.829301 212.601173 1494.430473
15 1576.887596 7.667349 1584.554945
16 1594.752700 5.266493 1600.019193
14 1550.331999 466.347222 2016.679221
13 1436.335832 1048.942323 2485.278155
24 2501.097411 23.415121 2524.512532
19 1785.857820 751.706613 2537.564432
18 1628.112889 950.182971 2578.295860
25 2633.545499 0.897436 2634.442935
27 2761.276339 10.083181 2771.359520
21 1881.640099 895.011975 2776.652075
29 2816.683193 1.932969 2818.616162
20 1806.957731 1053.426649 2860.384380
23 2278.337129 697.563223 2975.900352
30 3033.409087 1.155424 3034.564511
22 1949.490656 1128.436292 3077.926948
32 3459.567490 33.928724 3493.496215
34 3637.360495 3.633739 3640.994233
28 2788.281615 890.679908 3678.961523
17 1609.873644 2107.438651 3717.312295
36 4178.921972 2.916724 4181.838695
37 4230.467525 3.057800 4233.525325
26 2673.045497 1677.325095 4350.370592
40 4326.014916 30.118267 4356.133184
31 3084.602562 1275.655077 4360.257639
42 4556.969623 28.422162 4585.391785
44 4855.451568 0.746033 4856.197601
45 4973.000394 14.937250 4987.937644
46 5010.754313 18.825703 5029.580016
41 4366.041614 665.064281 5031.105895
47 5053.466740 11.337200 5064.803939
39 4270.709018 929.984474 5200.693492
49 5438.054195 0.156800 5438.210995
50 5459.621689 100.680743 5560.302432
51 5735.711724 7.875489 5743.587213
53 5796.508321 11.043515 5807.551836
33 3459.768416 3094.353597 6554.122013
60 6735.133865 0.287688 6735.421553
61 6845.947381 1.524482 6847.471863
52 5769.964009 1166.602461 6936.566469
38 4250.661900 2891.567693 7142.229593
35 3961.087600 3360.762236 7321.849836
66 7469.380123 3.350794 7472.730916
56 6100.210280 1404.332938 7504.543218
68 7570.108915 47.264294 7617.373209
70 7870.239618 2.780504 7873.020122
69 7644.663079 267.432277 7912.095356
72 8329.844455 7.742920 8337.587376
73 8342.257375 5.168822 8347.426197
43 4574.375885 3837.459871 8411.835755
77 8499.667498 7.957616 8507.625114
64 7242.812051 1277.349599 8520.161650
81 8674.721456 53.844801 8728.566257
55 5938.584408 2807.924242 8746.508650
75 8386.978813 436.565382 8823.544196
83 8860.737586 1.004771 8861.742357
59 6639.643436 2227.860218 8867.503654
79 8551.182177 503.515157 9054.697334
85 9048.013081 8.388810 9056.401891
48 5129.763938 4015.349975 9145.113913
63 7198.738043 2077.343554 9276.081597
80 8670.357833 706.880379 9377.238212
88 9262.378106 175.437189 9437.815295
89 9443.017035 8.050467 9451.067501
87 9225.068589 386.219073 9611.287661
90 9462.381962 236.306254 9698.688216
92 9808.561353 30.498002 9839.059355
93 9847.349088 1.439158 9848.788246
94 9927.720564 2.431059 9930.151623
74 8363.212228 1700.865950 10064.078178
98 10189.471079 4.018938 10193.490017
100 10276.050737 6.601893 10282.652631
101 10379.202805 0.079235 10379.282040
76 8487.448243 1936.312690 10423.760933
54 5921.356209 4556.527534 10477.883743
97 10184.473231 298.602912 10483.076143
82 8683.140861 1909.177929 10592.318789
102 10521.256868 78.917071 10600.173939
96 10070.547121 565.849032 10636.396153
67 7528.220688 3122.148538 10650.369226
104 10911.399990 16.168237 10927.568227
105 11163.008360 19.044779 11182.053139
106 11185.542565 24.375959 11209.918524
58 6380.968889 4866.811571 11247.780460
78 8526.399597 2764.613268 11291.012865
103 10569.746255 739.198817 11308.945072
57 6152.953550 5265.994259 11418.947808
107 11383.178662 36.790715 11419.969377
84 9026.352393 2427.379682 11453.732075
62 6894.754890 4573.319201 11468.074091
110 11693.661139 4.003471 11697.664610
111 11733.128692 27.664927 11760.793619
86 9209.829414 2734.968110 11944.797525
109 11466.694582 574.699806 12041.394388
65 7329.798010 4882.397883 12212.195894
114 12071.892599 157.704107 12229.596706
115 12099.190882 212.883127 12312.074009
116 12457.977092 0.354671 12458.331764
99 10209.325490 2618.007587 12827.333078
117 12970.173938 4.175613 12974.349551
120 13116.781543 6.855316 13123.636859
108 11459.415259 1696.771240 13156.186499
113 11908.072394 1330.595862 13238.668256
112 11787.536585 1555.521216 13343.057801
123 13556.003302 13.279441 13569.282743
71 8077.582970 5524.998715 13602.581684
95 9995.661772 3691.789148 13687.450919
124 13650.850715 46.873659 13697.724374
125 13686.930280 13.387638 13700.317918
126 13857.246170 17.259795 13874.505965
130 14230.915787 23.681340 14254.597127
131 14240.289397 14.624745 14254.914142
121 13287.553482 986.853715 14274.407197
132 14456.906235 3.622688 14460.528923
127 13873.807148 594.462584 14468.269732
135 14537.111621 0.732089 14537.843709
136 14613.811118 4.821457 14618.632575
138 14764.285762 17.240921 14781.526683
141 15060.754296 1.414711 15062.169007
142 15268.845888 18.303054 15287.148942
118 12970.886456 2390.125326 15361.011782
144 15322.753431 39.221721 15361.975153
119 13039.655464 2325.225312 15364.880776
146 15574.349655 1.165718 15575.515373
147 15775.066500 2.261691 15777.328190
134 14510.570319 1313.853600 15824.423918
148 15911.619734 4.530146 15916.149881
139 14835.271817 1143.379301 15978.651118
137 14637.806443 1391.966205 16029.772648
129 14151.629656 2051.081613 16202.711269
122 13505.269737 2744.293620 16249.563357
151 16323.559980 13.812307 16337.372287
140 15009.858947 1395.939012 16405.797959
128 14052.433271 2472.296910 16524.730180
153 16833.838661 0.874284 16834.712945
152 16676.310988 254.213059 16930.524047
91 9712.846076 7432.963272 17145.809348
156 17288.930875 1.157282 17290.088157
157 17386.610798 9.336853 17395.947652
158 17485.582913 20.158129 17505.741043
159 17538.162904 2.101029 17540.263933
160 17565.402521 8.922534 17574.325055
161 17738.289178 6.973319 17745.262497
155 17037.753354 786.384143 17824.137496
164 17900.082975 16.246975 17916.329950
165 17993.703399 20.378224 18014.081624
168 18079.570161 8.095715 18087.665876
145 15432.994309 2666.820186 18099.814496
169 18123.683037 16.286406 18139.969444
150 16307.630173 2024.229332 18331.859505
167 18051.467988 450.456555 18501.924543
149 15934.453229 2647.524029 18581.977258
172 18595.318741 6.911775 18602.230516
143 15273.731267 3405.130574 18678.861841
166 18028.003845 743.993422 18771.997267
176 18961.676250 14.305722 18975.981972
170 18269.335999 820.248310 19089.584310
177 19258.830371 5.898158 19264.728529
179 19409.610915 13.645023 19423.255938
173 18766.924808 806.441563 19573.366372
162 17838.802192 1783.947676 19622.749869
163 17898.129267 1803.111437 19701.240704
171 18432.991126 1298.528065 19731.519191
175 18892.751672 844.447124 19737.198797
180 19764.203565 4.025607 19768.229172
181 19994.564577 2.333041 19996.897617
183 20061.966778 12.221489 20074.188266
185 20173.600190 0.269693 20173.869883
184 20073.622269 147.356038 20220.978307
186 20233.393763 5.575884 20238.969646
182 20013.071285 333.356668 20346.427953
189 20385.271129 28.645354 20413.916483
193 20901.532608 1.217250 20902.749858
154 16870.689626 4079.661041 20950.350667
190 20580.098635 384.269536 20964.368172
192 20860.113173 268.000683 21128.113856
191 20719.677365 460.305753 21179.983118
197 21356.168294 20.266366 21376.434660
199 21678.511488 12.438475 21690.949963
187 20260.104935 1476.317230 21736.422165
196 21107.745181 632.210771 21739.955952
